Categoria: Todas as categorias

Semana,audi eletrico: (Portugal)
2025-07-06,0
2025-07-13,0
2025-07-20,48
2025-07-27,0
2025-08-03,0
2025-08-10,59
2025-08-17,0
2025-08-24,48
2025-08-31,0
2025-09-07,0
2025-09-14,0
2025-09-21,55
2025-09-28,46
2025-10-05,0
2025-10-12,43
2025-10-19,82
2025-10-26,0
2025-11-02,90
2025-11-09,56
2025-11-16,58
2025-11-23,0
2025-11-30,65
2025-12-07,49
2025-12-14,0
2025-12-21,0
2025-12-28,54
2026-01-04,57
2026-01-11,0
2026-01-18,50
2026-01-25,0
2026-02-01,43
2026-02-08,41
2026-02-15,42
2026-02-22,57
2026-03-01,0
2026-03-08,51
2026-03-15,54
2026-03-22,54
2026-03-29,77
2026-04-05,60
2026-04-12,100
2026-04-19,83
2026-04-26,54
2026-05-03,55
2026-05-10,62
2026-05-17,52
2026-05-24,80
2026-05-31,63
2026-06-07,73
2026-06-14,72
2026-06-21,31
2026-06-28,35
2026-07-05,36
