Categoria: Todas as categorias
"audi eletrico: (07/07/25 – 07/07/26, Portugal)"

TOP
Audi,93
Audi,68
Audi,65
Elétrico,31
Automóvel,25
Preço,21
Veículo elétrico,18
Audi Q4 e-tron,15
Audi Q8 e-tron,15
BMW,13
Mercedes-Benz,12
Mercedes-Benz,12
Mercedes Benz,12
BMW,11
BMW,11
Veículo utilitário esportivo,10
used,9
Audi A6,8
Volvo,8
"Tesla, Inc.",8
Tesla,8

RISING
Audi A1,Aumento
Fiat,Aumento
Mercedes-Benz Classe GLC,Aumento
FIAT,Aumento
Veículo híbrido,Aumento
2023,Aumento
Audi R8,Aumento
Elétrico,+400%
Volvo,+100%
used,+90%
Volvo Cars,+70%
Audi Q4 e-tron,+70%
"Tesla, Inc.",+50%
Tesla,+40%
BMW,+40%

