Categoria: Todas as categorias
"audi eletrico: (07/07/25 – 07/07/26, Portugal)"

TOP
carro eletrico,100
audi q4,93
audi q4 eletrico,89
mercedes,78
mercedes eletrico,78
bmw,77
bmw eletrico,76
audi e tron,74
tesla,51
volvo,45
volvo eletrico,40
audi a3,39
byd,37
audi q6,34
audi q3,30
audi etron,29
audi q8 eletrico,29
audi a4,26
carros eletricos,25
kia,23
volkswagen,20
cupra,18
porsche eletrico,16

RISING
audi q3,+150%
audi etron,+120%
cupra,+100%
tesla,+60%
porsche eletrico,+50%
bmw eletrico,+40%

