Categoria: Todas as categorias

Semana,audi: (Portugal)
2025-07-06,82
2025-07-13,77
2025-07-20,83
2025-07-27,83
2025-08-03,86
2025-08-10,88
2025-08-17,84
2025-08-24,87
2025-08-31,83
2025-09-07,81
2025-09-14,78
2025-09-21,78
2025-09-28,74
2025-10-05,77
2025-10-12,76
2025-10-19,83
2025-10-26,79
2025-11-02,88
2025-11-09,97
2025-11-16,100
2025-11-23,89
2025-11-30,82
2025-12-07,84
2025-12-14,88
2025-12-21,95
2025-12-28,94
2026-01-04,89
2026-01-11,96
2026-01-18,98
2026-01-25,92
2026-02-01,86
2026-02-08,89
2026-02-15,98
2026-02-22,99
2026-03-01,95
2026-03-08,95
2026-03-15,95
2026-03-22,94
2026-03-29,89
2026-04-05,90
2026-04-12,85
2026-04-19,83
2026-04-26,84
2026-05-03,85
2026-05-10,84
2026-05-17,82
2026-05-24,79
2026-05-31,85
2026-06-07,81
2026-06-14,77
2026-06-21,70
2026-06-28,65
2026-07-05,60
