Categoria: Todas as categorias
"bmw elétrico: (07/07/25 – 07/07/26, Portugal)"

TOP
BMW,100
BMW,78
BMW,77
Preço,34
Elétrico,32
Automóvel,24
Veículo elétrico,20
BMW i3,14
Mercedes-Benz,12
Mercedes Benz,11
used,10
Mercedes-Benz,10
Audi,10
BMW i4,9
Tesla,8
Veículo utilitário esportivo,8
BMW iX3,8
BMW X1,7
BMW iX1,7
Tesla,7
Audi,6

RISING
Porsche,Aumento
BMW X1,Aumento
Veículo híbrido,Aumento
Plug-in,Aumento
Motor elétrico,Aumento
BMW iX3,+450%
used,+100%
BMW iX1,+90%
Tesla,+80%
Tesla,+70%
Audi,+70%
BMW i4,+60%
BYD Auto,+60%
Elétrico,+50%
Audi,+50%
Audi,+40%

