Categoria: Todas as categorias

Semana,byd elétrico: (Portugal)
2025-07-06,0
2025-07-13,0
2025-07-20,0
2025-07-27,0
2025-08-03,0
2025-08-10,0
2025-08-17,0
2025-08-24,0
2025-08-31,0
2025-09-07,0
2025-09-14,0
2025-09-21,0
2025-09-28,81
2025-10-05,0
2025-10-12,0
2025-10-19,0
2025-10-26,0
2025-11-02,0
2025-11-09,0
2025-11-16,0
2025-11-23,0
2025-11-30,0
2025-12-07,0
2025-12-14,0
2025-12-21,0
2025-12-28,72
2026-01-04,0
2026-01-11,0
2026-01-18,68
2026-01-25,0
2026-02-01,0
2026-02-08,0
2026-02-15,0
2026-02-22,0
2026-03-01,0
2026-03-08,0
2026-03-15,55
2026-03-22,53
2026-03-29,0
2026-04-05,100
2026-04-12,71
2026-04-19,68
2026-04-26,67
2026-05-03,62
2026-05-10,0
2026-05-17,74
2026-05-24,69
2026-05-31,0
2026-06-07,0
2026-06-14,0
2026-06-21,27
2026-06-28,30
2026-07-05,38
