Categoria: Todas as categorias
"byd elétrico: (07/07/25 – 07/07/26, Portugal)"

TOP
BYD Auto,100
BYD Company Limited,61
Automóvel,56
Veículo elétrico,51
Preço,39
Elétrico,36
BYD Dolphin,17
Renault,13
Renault,13
Tesla,12
Renault,12
"Tesla, Inc.",12
BYD Yuan Plus,11
BYD,11
cheap,10
used,10
Tesla,10
BYD Seal,9
BYD Seagull,9
Autonomia,9
Hyundai Motor Company,9
Veículo utilitário esportivo,8
Hyundai,8

RISING
Volvo Cars,Aumento
Quilómetro,Aumento
Tesla Model 3,Aumento
Crédito,Aumento
Uber,Aumento
Volvo EX30,Aumento
Ford,Aumento
Modelo,Aumento
Honda,Aumento
Uber,Aumento
Ford Motor Company,Aumento
BYD Song Plus,Aumento
Jaecoo,Aumento
Hyundai,+500%
BYD Seagull,+250%
BYD Yuan Up,+200%
BYD Dolphin,+170%
used,+160%
Dacia,+100%
Citroën,+100%
Hyundai Motor Company,+80%
Elétrico,+70%
Kia,+70%

