Categoria: Todas as categorias
"byd: (07/07/25 – 07/07/26, Portugal)"

TOP
BYD Auto,100
BYD Company Limited,66
BYD Yuan Plus,11
BYD Seal,11
BYD,7
BYD Dolphin,6
Tesla,5
"Tesla, Inc.",5
Veículo elétrico,5
BYD Yuan Up,5
Tesla,4
BYD Seal U,4
BYD Sealion 7,4
BYD Seagull,4
Veículo utilitário esportivo,2
BYD Seal U DM-i,2
Renault,2
Renault,2
Kia Motors,2
Kia,2
Standvirtual,1
BYD 06 DM-i,1

RISING
Standvirtual,Aumento
Reuters,Aumento
Reuters,Aumento
BYD 06 DM-i,+900%
Jaecoo,+650%
Leapmotor,+500%
BYD Yuan Up,+140%
Kia Motors,+70%
Kia,+70%
BYD Seagull,+60%
BYD Yuan Plus,+50%
Veículo elétrico,+40%

