Categoria: Todas as categorias

Semana,citroen c3: (Portugal)
2025-07-06,82
2025-07-13,88
2025-07-20,96
2025-07-27,69
2025-08-03,86
2025-08-10,79
2025-08-17,88
2025-08-24,84
2025-08-31,97
2025-09-07,93
2025-09-14,89
2025-09-21,73
2025-09-28,67
2025-10-05,72
2025-10-12,65
2025-10-19,77
2025-10-26,69
2025-11-02,71
2025-11-09,75
2025-11-16,79
2025-11-23,79
2025-11-30,71
2025-12-07,68
2025-12-14,64
2025-12-21,65
2025-12-28,73
2026-01-04,69
2026-01-11,79
2026-01-18,84
2026-01-25,74
2026-02-01,82
2026-02-08,100
2026-02-15,84
2026-02-22,86
2026-03-01,83
2026-03-08,84
2026-03-15,91
2026-03-22,94
2026-03-29,85
2026-04-05,91
2026-04-12,95
2026-04-19,81
2026-04-26,80
2026-05-03,71
2026-05-10,70
2026-05-17,72
2026-05-24,75
2026-05-31,94
2026-06-07,69
2026-06-14,74
2026-06-21,67
2026-06-28,57
2026-07-05,56
