Categoria: Todas as categorias
"citroen: (07/07/25 – 07/07/26, Portugal)"

TOP
Citroën,100
Citroën,52
Citroën,51
Citroën C3,20
Citroën C4,13
Citroën Berlingo,8
Citroën C5,4
Citroën Ami,4
Motor,4
Peugeot,3
Peugeot Portugal,3
Citroën Saxo,3
PSA HDi engine,3
Citroën C1,3
Diesel,3
Gasolina,3
Citroën C3 Aircross,3
Citroën Xsara,2
Renault,2
Renault,2
Citroën C2,2
Van,2
Citroën C4 Picasso,2
Renault,2
Peugeot,2

RISING
Citroën DS4,Aumento
Citroën C3 Aircross,+130%
Motores PureTech,+120%
Elétrico,+110%
Citroën C5 Aircross,+70%
PSA HDi engine,+60%

