Categoria: Todas as categorias

Semana,volkswagen t-roc: (Portugal)
2025-07-06,42
2025-07-13,0
2025-07-20,47
2025-07-27,0
2025-08-03,0
2025-08-10,44
2025-08-17,63
2025-08-24,51
2025-08-31,50
2025-09-07,0
2025-09-14,0
2025-09-21,0
2025-09-28,0
2025-10-05,0
2025-10-12,0
2025-10-19,0
2025-10-26,0
2025-11-02,0
2025-11-09,41
2025-11-16,94
2025-11-23,0
2025-11-30,50
2025-12-07,0
2025-12-14,51
2025-12-21,0
2025-12-28,0
2026-01-04,0
2026-01-11,0
2026-01-18,59
2026-01-25,59
2026-02-01,53
2026-02-08,42
2026-02-15,58
2026-02-22,65
2026-03-01,78
2026-03-08,51
2026-03-15,0
2026-03-22,51
2026-03-29,0
2026-04-05,0
2026-04-12,0
2026-04-19,100
2026-04-26,0
2026-05-03,0
2026-05-10,0
2026-05-17,0
2026-05-24,0
2026-05-31,0
2026-06-07,0
2026-06-14,0
2026-06-21,15
2026-06-28,20
2026-07-05,24
