snapshot_date,id,matricula,marca,modelo_versao,ano,combustivel,km,preco_eur,potencia_cv,transmissao,stand_marca,stand_cidade,distrito,data_matricula,url
2026-07-08,2772879158,AV66RF,Mitsubishi,L200 2.4 DID-D CD Invite Space Cab,2023,Diesel,100312,31450,150,Manual,Hyundai,Beja,Beja,03/01/2023,https://www.amatoscar.pt/carro-usado/mitsubishi-l200-2-4-did-d-cd-invite-space-cab-2772879158/
2026-07-08,2772325797,,Fiat,Grande Panda Hybrid 1.2 110cv eDCT La Prima,2025,Gasolina,8000,21250,,,,,(por enriquecer),,https://www.amatoscar.pt/carro-usado/fiat-grande-panda-grande-panda-hybrid-1-2-110cv-edct-la-prima-2772325797/
2026-07-08,2772804696,,Peugeot,2008 1.2 Hybrid 145 Allure e-DCS6,2025,Gasolina,21642,24750,,,,,(por enriquecer),,https://www.amatoscar.pt/carro-usado/peugeot-2008-1-2-hybrid-145-allure-e-dcs6-2772804696/
2026-07-08,2772817124,,Kia,Stonic 1.0 T-GDi 6MT DRIVE,2025,Gasolina,24163,18450,,,,,(por enriquecer),,https://www.amatoscar.pt/carro-usado/kia-stonic-1-0-t-gdi-6mt-drive-2772817124/
2026-07-08,2772351529,,Peugeot,3008 Allure 1.5 BlueHDi 130cv EAT8,2019,Diesel,156718,16950,,,,,(por enriquecer),,https://www.amatoscar.pt/carro-usado/peugeot-3008-allure-1-5-bluehdi-130cv-eat8-2772351529/
2026-07-08,2772310120,,Opel,Corsa 1.2 Turbo 100cv Edition CM6,2026,Gasolina,300,20450,,,,,(por enriquecer),,https://www.amatoscar.pt/carro-usado/opel-corsa-1-2-turbo-100cv-edition-cm6-2772310120/
2026-07-08,2772891725,,Nissan,LEAF 52 kWh Advance,2026,Eletrico,183,48056,,,,,(por enriquecer),,https://www.amatoscar.pt/carro-usado/nissan-leaf-52-kwh-advance-2772891725/
2026-07-08,2772782201,,Hyundai,Tucson 1.6 TGDi Premium MY26,2026,Gasolina,,34950,,,,,(por enriquecer),,https://www.amatoscar.pt/carro-usado/hyundai-tucson-1-6-tgdi-premium-my26-2772782201/
2026-07-08,2772788267,,Volkswagen,Golf 2.0 TDI 150 cv CONFORTLINE,2015,Diesel,125966,14950,,,,,(por enriquecer),,https://www.amatoscar.pt/carro-usado/volkswagen-golf-2-0-tdi-150-cv-confortline-2772788267/
2026-07-08,2772189788,,Ford,Focus 1.0 ECOBOOST 125cv MHEV ACTIVE,2023,Gasolina,92903,17450,,,,,(por enriquecer),,https://www.amatoscar.pt/carro-usado/ford-focus-1-0-ecoboost-125cv-mhev-active-2772189788/
2026-07-08,2772338279,,Fiat,600 Hybrid 1.2 145cv Sport,2026,Gasolina,6,27450,,,,,(por enriquecer),,https://www.amatoscar.pt/carro-usado/fiat-600-hybrid-1-2-145cv-sport-2772338279/
2026-07-08,2772825798,,Cupra,Formentor 1.5 TSI DSG S&S,2023,Gasolina,44872,27450,,,,,(por enriquecer),,https://www.amatoscar.pt/carro-usado/cupra-formentor-1-5-tsi-dsg-ss-2772825798/
