snapshot_date,id,matricula,marca,modelo_versao,ano,combustivel,km,preco_eur,potencia_cv,transmissao,stand_marca,stand_cidade,distrito,data_matricula,url
2026-07-08,2772879158,AV66RF,Mitsubishi,L200 2.4 DID-D CD Invite Space Cab,2023,Diesel,100312,31450,150,Manual,Hyundai,Beja,Beja,03/01/2023,https://www.amatoscar.pt/carro-usado/mitsubishi-l200-2-4-did-d-cd-invite-space-cab-2772879158/
2026-07-08,2772325797,BX82GA,Fiat,Grande Panda Grande Panda Hybrid 1.2 110cv eDCT La Prima,2025,Gasolina,8000,21250,110,Automática,FIAT,Guarda,Guarda,28/08/2025,https://www.amatoscar.pt/carro-usado/fiat-grande-panda-grande-panda-hybrid-1-2-110cv-edct-la-prima-2772325797/
2026-07-08,2772804696,BS00HA,Peugeot,2008 1.2 Hybrid 145 Allure e-DCS6,2025,Gasolina,21642,24750,145,Automática,Peugeot,Portalegre,Portalegre,01/04/2025,https://www.amatoscar.pt/carro-usado/peugeot-2008-1-2-hybrid-145-allure-e-dcs6-2772804696/
2026-07-08,2772351529,BL66IA,Peugeot,3008 Allure 1.5 BlueHDi 130cv EAT8,2019,Diesel,156718,16950,130,Automática,Citroën,Portalegre,Portalegre,28/01/2019,https://www.amatoscar.pt/carro-usado/peugeot-3008-allure-1-5-bluehdi-130cv-eat8-2772351529/
2026-07-08,2772248004,BB53PT,Opel,Mokka 1.2T 100cv GS,2023,Gasolina,49584,19450,100,Manual,Citroën,Castelo Branco,Castelo Branco,14/06/2023,https://www.amatoscar.pt/carro-usado/opel-mokka-1-2t-100cv-gs-2772248004/
2026-07-08,2772823929,BZ79TQ,Citroen,C3 1.2 Turbo 100 CVM6 YOU,2025,Gasolina,4838,18450,100,Manual,Citroën,Covilhã,Castelo Branco,31/10/2025,https://www.amatoscar.pt/carro-usado/citroen-c3-1-2-turbo-100-cvm6-you-2772823929/
2026-07-08,2772828656,BR22DE,Peugeot,208 Hybrid 100 e-DCS6 Allure,2025,Híbrido,28303,20950,100,Automática,Peugeot,Portalegre,Portalegre,21/02/2025,https://www.amatoscar.pt/carro-usado/peugeot-208-hybrid-100-e-dcs6-allure-2772828656/
2026-07-08,2772217602,BQ28UZ,Peugeot,2008 1.2 100 cv Style,2025,Gasolina,26096,20250,110,Manual,Peugeot,Portalegre,Portalegre,11/02/2025,https://www.amatoscar.pt/carro-usado/peugeot-2008-1-2-100-cv-style-2772217602/
2026-07-08,2772187111,AC15IP,Hyundai,Tucson 1.6 CRDi Premium+Pack Pele,2020,Diesel,50942,21950,115,Manual,FIAT,Portalegre,Portalegre,18/08/2020,https://www.amatoscar.pt/carro-usado/hyundai-tucson-1-6-crdi-premiumpack-pele-2772187111/
2026-07-08,2772168337,BH90OG,Peugeot,2008 1.2 PureTech 100cv Active,2024,Gasolina,39421,18950,100,Manual,Peugeot,Portalegre,Portalegre,29/02/2024,https://www.amatoscar.pt/carro-usado/peugeot-2008-1-2-puretech-100cv-active-2772168337/
