snapshot_date,id,matricula,marca,modelo_versao,ano,combustivel,km,preco_eur,potencia_cv,transmissao,stand_marca,stand_cidade,distrito,data_matricula,url,registo_completo
2026-09-14,2772786932,BG27VG,Kia,Stonic 1.2 CVVT ISG DYNAMIC,2024,Gasolina,52520,16950,84,Manual,KIA,Évora,Évora,31/01/2024,https://www.amatoscar.pt/carro-usado/kia-stonic-1-2-cvvt-isg-dynamic-2772786932/,1
2026-09-14,2772886704,BQ57AQ,Peugeot,308 SW Allure 1.2 PureTech 130cv,2024,Gasolina,29660,21950,130,Manual,Peugeot,Portalegre,Portalegre,30/12/2024,https://www.amatoscar.pt/carro-usado/peugeot-308-sw-allure-1-2-puretech-130cv-2772886704/,1
2026-09-14,2772886703,BL80QX,Peugeot,308 SW Allure 1.2 PureTech 130cv,2024,Gasolina,28972,21950,130,Manual,Peugeot,Portalegre,Portalegre,26/06/2024,https://www.amatoscar.pt/carro-usado/peugeot-308-sw-allure-1-2-puretech-130cv-2772886703/,1
2026-09-14,2772886698,BH37AR,Peugeot,e-208 Style Elétrico 136 cv (100 kW) – Bateria 50 kW,2024,Eletrico,6542,23450,136,Automática,Peugeot,Portalegre,Portalegre,08/02/2024,https://www.amatoscar.pt/carro-usado/peugeot-e-208-style-eletrico-136-cv-100-kw-bateria-50-kw-2772886698/,1
2026-09-14,2772886696,BG54QL,Peugeot,e-208 Style Elétrico 136 cv (100 kW) – Bateria 50 kW,2024,Eletrico,13058,22950,136,Automática,Peugeot,Portalegre,Portalegre,25/01/2024,https://www.amatoscar.pt/carro-usado/peugeot-e-208-style-eletrico-136-cv-100-kw-bateria-50-kw-2772886696/,1
2026-09-14,2772804696,BS00HA,Peugeot,2008 1.2 Hybrid 145 Allure e-DCS6,2025,Híbrido,21642,24750,145,Automática,Peugeot,Portalegre,Portalegre,01/04/2025,https://www.amatoscar.pt/carro-usado/peugeot-2008-1-2-hybrid-145-allure-e-dcs6-2772804696/,1
2026-09-14,2772916064,CF88DN,Citroen,C3 Aircross 1.2 100 Plus,2026,Gasolina,7434,22250,100,Manual,Citroën,Beja,Beja,27/02/2026,https://www.amatoscar.pt/carro-usado/citroen-c3-aircross-1-2-100-plus-2772916064/,1
2026-09-14,2772911158,CB26MN,Citroen,ë-C3 Aircross Elétrico 113cv Autonomia Alargada – PLUS,2025,Eletrico,7479,25250,113,Automática,Citroën,Beja,Beja,31/12/2025,https://www.amatoscar.pt/carro-usado/citroen-e-c3-aircross-eletrico-113cv-autonomia-alargada-plus-2772911158/,1
2026-09-14,2772900140,BL98SD,Volkswagen,T-Cross 1.0 TSI 115cv DSG Style,2024,Gasolina,16300,23450,115,Automática,Citroën,Beja,Beja,27/06/2024,https://www.amatoscar.pt/carro-usado/volkswagen-t-cross-1-0-tsi-115cv-dsg-style-2772900140/,1
2026-09-14,2772891784,CA82HF,Citroen,Berlingo M 1.5 BlueHDi 100 S&S CVM6,2025,Diesel,16935,18950,100,Manual,Citroën,Beja,Beja,20/11/2025,https://www.amatoscar.pt/carro-usado/citroen-berlingo-m-1-5-bluehdi-100-ss-cvm6-2772891784/,1
